ELEMENT_ID,County,SCIENTIFIC_NAME,COMMON_NAME,EL_CATEGORY,STATE_STATUS,US_STATUS
10941,Alcona,Accipiter gentilis,Northern goshawk,Animal,SC,PS
12352,Alcona,Alasmidonta viridis,Slippershell,Animal,T,
12247,Alcona,Appalachia arcana,Secretive locust,Animal,SC,
11622,Alcona,Atrytonopsis hianna,Dusted skipper,Animal,SC,
15960,Alcona,Botrychium spathulatum,Spatulate moonwort,Plant,T,
10942,Alcona,Buteo lineatus,Red-shouldered hawk,Animal,T,
15499,Alcona,Calypso bulbosa,Calypso or fairy-slipper,Plant,T,
15113,Alcona,Carex albolutescens,Sedge,Plant,T,
15220,Alcona,Carex nigra,Black sedge,Plant,E,
19587,Alcona,Cincinnatia cincinnatiensis,Campeloma spire snail,Animal,SC,
13482,Alcona,Cirsium hillii,Hill's thistle,Plant,SC,
13485,Alcona,Cirsium pitcheri,Pitcher's thistle,Plant,T,LT
11279,Alcona,Coregonus artedi,Lake herring or Cisco,Animal,T,
10893,Alcona,Cygnus buccinator,Trumpeter swan,Animal,T,
15506,Alcona,Cypripedium arietinum,Ram's head lady's-slipper,Plant,SC,
14722,Alcona,Dalibarda repens,False violet,Plant,T,
11490,Alcona,Emydoidea blandingii,Blanding's turtle,Animal,SC,
364996,Alcona,Festuca altaica,Rough fescue,Plant,T,
10862,Alcona,Gavia immer,Common loon,Animal,T,
11489,Alcona,Glyptemys insculpta,Wood turtle,Animal,SC,
10937,Alcona,Haliaeetus leucocephalus,Bald eagle,Animal,SC,
11038,Alcona,Hydroprogne caspia,Caspian tern,Animal,T,
12375,Alcona,Ligumia nasuta,Eastern pondmussel,Animal,E,
11427,Alcona,Myotis septentrionalis,Northern long-eared bat,Animal,SC,LT
13373,Alcona,Panax quinquefolius,Ginseng,Plant,T,
11408,Alcona,Percina copelandi,Channel darter,Animal,E,
12451,Alcona,Planogyra asteriscus,Eastern flat-whorl,Animal,SC,
14754,Alcona,Prunus umbellata,Alleghany or Sloe plum,Plant,SC,
14428,Alcona,Pterospora andromedea,Pine-drops,Plant,T,
11182,Alcona,Setophaga cerulea,Cerulean warbler,Animal,T,
11178,Alcona,Setophaga discolor,Prairie warbler,Animal,E,
11177,Alcona,Setophaga kirtlandii,Kirtland's warbler,Animal,E,LE
11519,Alcona,Sistrurus catenatus,Eastern massasauga,Animal,SC,LT
12124,Alcona,Somatochlora hineana,Hine's emerald dragonfly,Animal,E,LE
12268,Alcona,Trimerotropis huroniana,Lake Huron locust,Animal,T,
10941,Alger,Accipiter gentilis,Northern goshawk,Animal,SC,PS
11270,Alger,Acipenser fulvescens,Lake sturgeon,Animal,T,
15495,Alger,Amerorchis rotundifolia,Small round-leaved orchis,Plant,E,
11220,Alger,Ammodramus savannarum,Grasshopper sparrow,Animal,SC,PS
14113,Alger,Astragalus canadensis,Canadian milk vetch,Plant,T,
10876,Alger,Botaurus lentiginosus,American bittern,Animal,SC,
15958,Alger,Botrychium acuminatum,Moonwort,Plant,E,
15957,Alger,Botrychium campestre,Prairie Moonwort or Dunewort,Plant,T,
15955,Alger,Botrychium hesperium,Western moonwort,Plant,T,
15953,Alger,Botrychium mormo,Goblin moonwort,Plant,T,
15960,Alger,Botrychium spathulatum,Spatulate moonwort,Plant,T,
10942,Alger,Buteo lineatus,Red-shouldered hawk,Animal,T,
13957,Alger,Callitriche hermaphroditica,Autumnal water-starwort,Plant,SC,
15499,Alger,Calypso bulbosa,Calypso or fairy-slipper,Plant,T,
